Cycle,Scroll,Agent Mode,Latency (ms),DII,DPI,Coherence (%),Conflict Rate,SIQ Score
1,DroneSync,Dynamic Grammar Engine,1.8175,0.999657,8.34e-06,99.99927,0.00013,93
2,DroneSync,Dark_Star,1.9595,0.996967,6.503e-06,99.99976,0.0001,95
3,DroneSync,ObeliskGPT,1.848,0.997867,5.607e-06,99.99927,9e-05,93
4,DroneSync,ObeliskGPT,1.9036,0.997171,6.835e-06,99.99983,0.00023,97
5,SpaceLogistics,Black Star SLM,1.839,0.999607,7.727e-06,99.99976,0.0001,96
6,CryptoValidation,ObeliskGPT,1.9485,0.996847,5.304e-06,99.99952,0.00017,97
7,CryptoValidation,Dark_Star,1.9637,0.998958,7.428e-06,99.99945,0.00016,96
8,DroneSync,Black Star SLM,1.915,0.999392,5.259e-06,99.99956,0.00015,93
9,QuantumSync,Dynamic Grammar Engine,1.7814,0.997416,5.389e-06,99.99921,7e-05,97
10,DroneSync,Dark_Star,1.87,0.998579,5.728e-06,99.99959,0.00014,92
11,QuantumSync,Black Star SLM,1.886,0.996527,3.12e-06,99.99946,0.00013,93
12,DroneSync,Black Star SLM,1.8589,0.997194,2.233e-06,99.99932,9e-05,96
13,QuantumSync,Dark_Star,1.8208,0.99734,7.241e-06,99.99983,0.00013,97
14,CryptoValidation,Dark_Star,1.7994,0.997387,3.274e-06,99.99966,0.0001,98
15,CryptoValidation,Dynamic Grammar Engine,1.8689,0.997912,1.575e-06,99.99969,0.00025,95
16,DroneSync,Dynamic Grammar Engine,1.8802,0.999503,4.511e-06,99.99991,0.00017,93
17,Navigation,ObeliskGPT,1.898,0.997195,8.946e-06,99.99958,0.00011,95
18,CryptoValidation,Black Star SLM,1.9291,0.997837,7.493e-06,99.99973,0.00022,97
19,DroneSync,Black Star SLM,1.9695,0.996791,8.334e-06,99.99942,0.00021,92
20,QuantumSync,Dark_Star,1.9404,0.99949,6.135e-06,99.99924,0.00011,97
