host,timestamp,scrolls_processed,avg_latency_ms,cache_hit_ratio,energy_per_scroll_w,dag_avg_depth,dag_fork_avg
mars_rover,2025-05-09T10:14:32.189494,822699,0.948,0.9626,0.0184,3,2.27
mars_rover,2025-05-10T10:14:32.189514,777429,0.726,0.9947,0.019,4,2.33
mars_rover,2025-05-11T10:14:32.189523,840348,1.486,0.9946,0.0178,4,2.21
mars_rover,2025-05-12T10:14:32.189530,790793,1.207,0.9849,0.0198,7,2.34
mars_rover,2025-05-13T10:14:32.189538,786986,1.13,0.9694,0.0189,3,2.42
mars_rover,2025-05-14T10:14:32.189547,819707,1.071,0.9793,0.0185,6,1.84
mars_rover,2025-05-15T10:14:32.189556,787714,1.053,0.9948,0.0157,3,2.16
mars_rover,2025-04-16T10:14:32.189570,905883,1.342,0.9771,0.0186,6,2.04
mars_rover,2025-04-17T10:14:32.189581,933042,1.05,0.986,0.0181,3,2.45
mars_rover,2025-04-18T10:14:32.189589,919334,0.931,0.9887,0.0172,5,2.26
mars_rover,2025-04-19T10:14:32.189597,953071,1.189,0.9931,0.019,5,2.28
mars_rover,2025-04-20T10:14:32.189605,884921,0.747,0.97,0.017,4,2.15
mars_rover,2025-04-21T10:14:32.189612,951035,0.929,0.9721,0.0184,3,1.92
mars_rover,2025-04-22T10:14:32.189625,906107,0.781,0.966,0.0156,6,2.11
mars_rover,2025-04-23T10:14:32.189637,911485,0.864,0.9633,0.0151,4,2.47
mars_rover,2025-04-24T10:14:32.189653,874626,0.944,0.9883,0.0179,6,2.21
mars_rover,2025-04-25T10:14:32.189674,919970,1.349,0.9789,0.0163,5,2.19
mars_rover,2025-04-26T10:14:32.189687,863934,1.359,0.9703,0.0191,5,2.37
mars_rover,2025-04-27T10:14:32.189710,885030,1.026,0.9785,0.0181,3,2.13
mars_rover,2025-04-28T10:14:32.189729,880188,1.463,0.9701,0.0162,5,2.02
mars_rover,2025-04-29T10:14:32.189749,868605,0.918,0.9814,0.0155,4,2.37
mars_rover,2025-04-30T10:14:32.189757,868988,0.81,0.964,0.0148,4,2.19
mars_rover,2025-05-01T10:14:32.189764,953164,1.18,0.9896,0.0187,4,1.81
mars_rover,2025-05-02T10:14:32.189777,934913,0.892,0.9642,0.0171,5,2.47
mars_rover,2025-05-03T10:14:32.189790,896783,1.343,0.9892,0.0157,3,2.2
mars_rover,2025-05-04T10:14:32.189813,874330,1.243,0.9866,0.0183,5,1.87
mars_rover,2025-05-05T10:14:32.189826,867766,0.883,0.9659,0.0146,5,2.06
mars_rover,2025-05-06T10:14:32.189843,942156,1.184,0.9605,0.0198,5,2.02
mars_rover,2025-05-07T10:14:32.189855,921052,1.406,0.9655,0.0166,3,2.08
mars_rover,2025-05-08T10:14:32.189868,944881,1.363,0.9941,0.0165,7,2.29
mars_rover,2025-05-09T10:14:32.189883,921323,1.164,0.9896,0.0166,6,2.03
mars_rover,2025-05-10T10:14:32.189892,944645,0.873,0.9713,0.018,7,1.91
mars_rover,2025-05-11T10:14:32.189907,949245,1.482,0.9645,0.0165,5,2.09
mars_rover,2025-05-12T10:14:32.189921,897531,1.12,0.9782,0.014,5,1.88
mars_rover,2025-05-13T10:14:32.189929,904371,1.122,0.9696,0.0174,3,2.25
mars_rover,2025-05-14T10:14:32.189938,904762,0.703,0.9912,0.0148,6,2.01
mars_rover,2025-05-15T10:14:32.189951,867609,1.071,0.995,0.0169,3,1.91
mars_rover,2024-11-17T10:14:32.189962,833724,0.818,0.9618,0.0181,6,2.16
mars_rover,2024-11-18T10:14:32.189970,797338,1.303,0.9746,0.0157,6,1.9
mars_rover,2024-11-19T10:14:32.189978,864279,0.934,0.9909,0.0153,4,2.23
mars_rover,2024-11-20T10:14:32.189986,831908,1.129,0.9654,0.0163,3,1.93
mars_rover,2024-11-21T10:14:32.190000,838568,1.351,0.978,0.0178,6,2.21
mars_rover,2024-11-22T10:14:32.190014,869873,1.283,0.9852,0.0185,7,2.04
mars_rover,2024-11-23T10:14:32.190025,858811,1.306,0.9681,0.0155,5,2.01
mars_rover,2024-11-24T10:14:32.190033,818359,0.876,0.9796,0.0179,7,1.96
mars_rover,2024-11-25T10:14:32.190041,807267,0.804,0.9708,0.0156,6,2.45
mars_rover,2024-11-26T10:14:32.190048,846255,1.088,0.9868,0.0173,6,1.99
mars_rover,2024-11-27T10:14:32.190056,828774,0.759,0.9814,0.0167,4,1.85
mars_rover,2024-11-28T10:14:32.190064,810009,0.825,0.9736,0.0149,5,1.99
mars_rover,2024-11-29T10:14:32.190071,867679,1.356,0.9796,0.0176,7,1.82
mars_rover,2024-11-30T10:14:32.190079,836642,1.128,0.9753,0.0177,7,2.18
mars_rover,2024-12-01T10:14:32.190088,857022,1.244,0.9721,0.0157,3,1.84
mars_rover,2024-12-02T10:14:32.190095,848906,1.045,0.9911,0.0197,6,1.92
mars_rover,2024-12-03T10:14:32.190103,791250,1.039,0.9776,0.0146,6,2.31
mars_rover,2024-12-04T10:14:32.190114,795594,0.81,0.9889,0.0162,3,2.07
mars_rover,2024-12-05T10:14:32.190122,846286,0.779,0.981,0.0144,6,2.38
mars_rover,2024-12-06T10:14:32.190130,873964,1.469,0.9711,0.0155,4,2.42
