scroll_id,class,glyphs,energy_w,dag_depth,complexity
scroll_military_000000,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000001,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000002,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000003,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000004,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000005,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000006,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000007,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000008,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000009,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000010,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000011,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000012,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000013,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000014,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000015,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000016,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000017,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000018,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000019,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000020,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000021,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000022,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000023,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000024,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000025,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000026,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000027,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000028,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000029,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000030,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000031,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000032,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000033,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000034,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000035,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000036,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000037,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000038,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000039,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000040,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000041,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000042,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000043,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000044,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000045,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000046,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000047,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000048,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000049,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000050,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000051,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000052,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000053,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000054,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000055,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000056,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000057,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000058,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000059,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000060,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000061,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000062,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000063,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000064,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000065,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000066,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000067,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000068,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000069,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000070,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000071,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000072,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000073,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000074,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000075,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000076,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000077,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000078,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000079,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000080,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000081,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000082,military,🜁🜃🜋,0.015,3,0.6
scroll_military_000083,military,🜁🜃🜋,0.015,3,0.6
