scroll_id,dag_depth,complexity,fork_score,unit_type,latency_ms,energy_w,timestamp
scroll_00000,6,0.99,5.9399999999999995,company,1.459,0.0189,2025-03-14T10:34:07.966926
scroll_00001,4,0.52,2.08,sniper_pair,0.851,0.0116,2025-02-07T10:34:07.966958
scroll_00002,2,0.82,1.64,sniper_pair,0.838,0.0106,2024-12-12T10:34:07.966980
scroll_00003,4,0.81,3.24,fireteam,0.917,0.0148,2025-03-22T10:34:07.966992
scroll_00004,2,0.66,1.32,sniper_pair,0.74,0.0111,2025-03-07T10:34:07.967004
scroll_00005,5,0.97,4.85,platoon,1.243,0.0182,2025-04-30T10:34:07.967016
scroll_00006,5,0.45,2.25,sniper_pair,0.804,0.0117,2024-10-28T10:34:07.967028
scroll_00007,2,0.52,1.04,sniper_pair,0.877,0.0116,2025-01-16T10:34:07.967052
scroll_00008,2,0.4,0.8,sniper_pair,0.754,0.0111,2024-11-04T10:34:07.967073
scroll_00009,4,0.44,1.76,sniper_pair,0.801,0.0127,2024-11-04T10:34:07.967093
scroll_00010,6,0.42,2.52,fireteam,0.862,0.0138,2024-10-08T10:34:07.967114
scroll_00011,5,0.9,4.5,platoon,1.186,0.0178,2024-10-11T10:34:07.967125
scroll_00012,6,0.9,5.4,platoon,1.249,0.0174,2025-03-23T10:34:07.967136
scroll_00013,4,0.52,2.08,sniper_pair,0.801,0.0127,2024-10-26T10:34:07.967147
scroll_00014,6,0.66,3.96,squad,1.032,0.0181,2025-02-19T10:34:07.967159
scroll_00015,4,0.82,3.28,fireteam,0.889,0.0134,2024-09-13T10:34:07.967170
scroll_00016,4,0.72,2.88,fireteam,0.866,0.0142,2025-01-07T10:34:07.967189
scroll_00017,6,0.62,3.7199999999999998,squad,1.059,0.0191,2024-06-29T10:34:07.967214
scroll_00018,6,0.86,5.16,platoon,1.232,0.0201,2024-08-18T10:34:07.967226
scroll_00019,2,0.71,1.42,sniper_pair,0.764,0.0109,2025-03-22T10:34:07.967237
scroll_00020,3,0.81,2.43,sniper_pair,0.854,0.0131,2025-05-04T10:34:07.967247
scroll_00021,2,0.75,1.5,sniper_pair,0.851,0.0121,2024-12-27T10:34:07.967261
scroll_00022,3,0.79,2.37,sniper_pair,0.712,0.012,2024-11-15T10:34:07.967288
scroll_00023,3,0.58,1.7399999999999998,sniper_pair,0.757,0.0129,2024-08-06T10:34:07.967300
scroll_00024,6,0.74,4.4399999999999995,squad,0.991,0.0176,2025-02-22T10:34:07.967311
scroll_00025,6,0.5,3.0,fireteam,0.861,0.0133,2024-09-21T10:34:07.967322
scroll_00026,5,0.84,4.2,squad,1.03,0.0175,2025-02-24T10:34:07.967333
scroll_00027,5,0.52,2.6,fireteam,0.883,0.0143,2025-03-03T10:34:07.967349
scroll_00028,2,0.88,1.76,sniper_pair,0.836,0.0118,2024-12-29T10:34:07.967372
scroll_00029,6,0.58,3.4799999999999995,fireteam,0.893,0.0149,2024-06-22T10:34:07.967382
scroll_00030,3,0.58,1.7399999999999998,sniper_pair,0.803,0.0124,2024-07-26T10:34:07.967393
scroll_00031,4,0.96,3.84,squad,1.075,0.0163,2024-11-29T10:34:07.967404
scroll_00032,2,0.67,1.34,sniper_pair,0.853,0.0132,2024-10-23T10:34:07.967414
scroll_00033,5,0.92,4.6000000000000005,platoon,1.162,0.0197,2025-02-23T10:34:07.967430
scroll_00034,3,0.64,1.92,sniper_pair,0.707,0.013,2025-02-28T10:34:07.967450
scroll_00035,2,0.89,1.78,sniper_pair,0.759,0.0107,2025-02-25T10:34:07.967472
scroll_00036,2,0.54,1.08,sniper_pair,0.76,0.0107,2024-08-03T10:34:07.967484
scroll_00037,4,0.7,2.8,fireteam,0.858,0.0144,2024-12-13T10:34:07.967495
scroll_00038,5,0.9,4.5,platoon,1.209,0.0189,2024-11-26T10:34:07.967511
scroll_00039,6,0.58,3.4799999999999995,fireteam,0.817,0.0147,2024-06-03T10:34:07.967537
scroll_00040,4,0.47,1.88,sniper_pair,0.773,0.0134,2024-09-02T10:34:07.967548
scroll_00041,6,0.52,3.12,fireteam,0.778,0.015,2024-06-28T10:34:07.967559
scroll_00042,3,0.76,2.2800000000000002,sniper_pair,0.811,0.0115,2024-11-07T10:34:07.967569
scroll_00043,5,0.75,3.75,squad,1.052,0.0176,2025-04-27T10:34:07.967580
scroll_00044,3,0.84,2.52,fireteam,0.946,0.0137,2024-05-30T10:34:07.967596
scroll_00045,4,0.51,2.04,sniper_pair,0.857,0.0101,2024-06-03T10:34:07.967620
scroll_00046,5,0.82,4.1,squad,0.984,0.0175,2024-07-10T10:34:07.967647
scroll_00047,4,0.64,2.56,fireteam,0.934,0.0158,2025-02-27T10:34:07.967658
scroll_00048,3,0.81,2.43,sniper_pair,0.841,0.0102,2025-03-24T10:34:07.967670
scroll_00049,5,0.69,3.4499999999999997,fireteam,0.898,0.0145,2024-08-26T10:34:07.967688
scroll_00050,4,0.4,1.6,sniper_pair,0.82,0.0124,2024-11-22T10:34:07.967703
scroll_00051,6,0.95,5.699999999999999,company,1.516,0.0216,2025-01-27T10:34:07.967713
scroll_00052,6,0.66,3.96,squad,1.034,0.018,2024-05-19T10:34:07.967724
scroll_00053,3,0.98,2.94,fireteam,0.763,0.0147,2024-12-01T10:34:07.967735
scroll_00054,5,0.75,3.75,squad,1.169,0.0162,2025-02-18T10:34:07.967746
scroll_00055,2,1.0,2.0,sniper_pair,0.77,0.0111,2025-01-30T10:34:07.967761
scroll_00056,3,0.7,2.0999999999999996,sniper_pair,0.882,0.0111,2024-11-10T10:34:07.967778
scroll_00057,3,0.99,2.9699999999999998,fireteam,0.899,0.0154,2024-06-11T10:34:07.967788
scroll_00058,3,0.74,2.2199999999999998,sniper_pair,0.756,0.0135,2024-11-04T10:34:07.967799
scroll_00059,5,0.66,3.3000000000000003,fireteam,0.96,0.015,2025-02-10T10:34:07.967810
scroll_00060,6,0.97,5.82,company,1.578,0.0205,2024-07-31T10:34:07.967820
scroll_00061,4,0.81,3.24,fireteam,0.879,0.0147,2024-07-13T10:34:07.967831
scroll_00062,2,0.57,1.14,sniper_pair,0.876,0.0121,2024-10-15T10:34:07.967849
scroll_00063,6,0.72,4.32,squad,1.018,0.0159,2025-03-01T10:34:07.967868
scroll_00064,5,0.89,4.45,squad,1.018,0.0164,2024-05-21T10:34:07.967895
scroll_00065,5,0.68,3.4000000000000004,fireteam,0.771,0.0143,2025-02-16T10:34:07.967907
scroll_00066,4,0.71,2.84,fireteam,0.943,0.014,2025-03-13T10:34:07.967918
scroll_00067,5,0.58,2.9,fireteam,0.958,0.0137,2024-07-25T10:34:07.967928
scroll_00068,2,0.91,1.82,sniper_pair,0.754,0.0119,2025-05-11T10:34:07.968232
scroll_00069,6,0.51,3.06,fireteam,0.857,0.0158,2025-04-09T10:34:07.968266
scroll_00070,5,0.52,2.6,fireteam,1.022,0.0131,2025-01-05T10:34:07.968286
scroll_00071,6,0.75,4.5,platoon,1.228,0.0194,2024-08-27T10:34:07.968304
scroll_00072,2,0.7,1.4,sniper_pair,0.746,0.0122,2024-10-07T10:34:07.968323
scroll_00073,6,0.63,3.7800000000000002,squad,1.062,0.0169,2024-09-14T10:34:07.968335
scroll_00074,5,0.8,4.0,squad,0.89,0.0182,2024-07-26T10:34:07.968349
scroll_00075,6,0.66,3.96,squad,1.013,0.0182,2025-04-04T10:34:07.968360
scroll_00076,4,0.75,3.0,fireteam,0.851,0.0147,2025-02-24T10:34:07.968370
scroll_00077,3,0.59,1.77,sniper_pair,0.935,0.0122,2024-05-25T10:34:07.968381
scroll_00078,4,0.52,2.08,sniper_pair,0.761,0.013,2024-09-04T10:34:07.968392
scroll_00079,3,0.99,2.9699999999999998,fireteam,0.889,0.015,2025-01-14T10:34:07.968402
scroll_00080,3,0.7,2.0999999999999996,sniper_pair,0.862,0.0119,2025-01-26T10:34:07.968429
scroll_00081,6,0.57,3.42,fireteam,0.818,0.014,2024-06-04T10:34:07.968447
scroll_00082,6,0.57,3.42,fireteam,0.914,0.0155,2024-10-07T10:34:07.968463
scroll_00083,4,0.58,2.32,sniper_pair,0.758,0.0126,2024-08-14T10:34:07.968479
scroll_00084,5,0.59,2.9499999999999997,fireteam,0.83,0.0126,2024-06-14T10:34:07.968496
scroll_00085,2,0.98,1.96,sniper_pair,0.809,0.0132,2024-07-17T10:34:07.968512
scroll_00086,2,0.57,1.14,sniper_pair,0.842,0.0118,2024-12-23T10:34:07.968535
scroll_00087,5,0.98,4.9,platoon,1.29,0.0195,2025-03-31T10:34:07.968546
